Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Memo
DEBIT,04/06/2021,SEAMLSSTACOBELL SEAMLESS.COM NJ              04/06,-30,DEBIT_CARD,,,
DEBIT,04/05/2021,SEAMLSSTACOBELL SEAMLESS.COM NJ              04/05,-22,DEBIT_CARD,,,
DEBIT,04/13/2021,SEAMLSSTACOBELL SEAMLESS.COM NJ              04/02,-31,DEBIT_CARD,,,
DEBIT,10/07/2020,SEAMLSSTACOBELL SEAMLESS.COM NJ           10/06,-33,DEBIT_CARD,,,
DEBIT,10/02/2020,SEAMLSSTACOBELL SEAMLESS.COM NJ        10/01,-34,DEBIT_CARD,,,
DEBIT,09/29/2020,SEAMLSSTACOBELL SEAMLESS.COM NJ              09/28,-25,DEBIT_CARD,,,
DEBIT,08/17/2020,SEAMLSSTACOBELL SEAMLESS.COM NJ              08/15,-24,DEBIT_CARD,,,
DEBIT,07/13/2020,SEAMLSSTACOBELL SEAMLESS.COM NJ              07/11,-28,DEBIT_CARD,,,
DEBIT,07/09/2020,SEAMLSSTACOBELL SEAMLESS.COM NJ                07/09,-31,DEBIT_CARD,,,
DEBIT,12/03/2021,"LAZ PARKING 660183-FL BUTTZVILLE NJ                                                                                                                                                                                                                          12/02",-20.00,DEBIT_CARD,,,
